목적구,행정동,콜택시_목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수,병원급_총수(의원/한의원제외),병상보고기관수,중환자실병상수,격리병실병상수,총병상수,그룹1_총수,그룹2_총수,의사수_총합,기관당_평균의사수
은평구,응암1동,4360,1,0,0,0,1,44,0,0,13,46,13,59,2,1.0,0.0,16.0,16.0,0,2,15.0,7.5
은평구,응암2동,3847,0,0,0,0,0,7,1,0,4,7,5,12,1,0.0,0.0,0.0,0.0,1,0,18.0,18.0
은평구,응암3동,2420,1,0,1,0,0,23,0,0,13,24,14,38,2,0.0,0.0,0.0,0.0,1,1,12.0,6.0
은평구,증산동,4913,0,0,0,0,0,10,0,0,6,10,6,16,0,0.0,0.0,0.0,0.0,0,0,0.0,
은평구,진관동,10175,0,0,0,0,0,34,0,1,18,35,18,53,1,1.0,79.0,17.0,96.0,0,1,274.0,274.0
종로구,가회동,407,0,0,0,0,0,0,0,0,5,0,5,5,0,0.0,0.0,0.0,0.0,0,0,0.0,
종로구,교남동,3610,0,0,0,1,0,11,0,1,6,13,6,19,2,2.0,76.0,18.0,94.0,0,2,438.0,219.0
종로구,무악동,1204,0,0,0,0,0,1,0,1,0,2,0,2,1,0.0,0.0,0.0,0.0,0,1,55.0,55.0
종로구,부암동,775,0,0,0,0,0,1,0,0,2,1,2,3,0,0.0,0.0,0.0,0.0,0,0,0.0,
종로구,사직동,2868,0,0,0,0,1,35,0,0,14,36,14,50,1,0.0,0.0,0.0,0.0,0,1,2.0,2.0
종로구,삼청동,863,0,0,0,0,0,5,0,0,2,5,2,7,0,0.0,0.0,0.0,0.0,0,0,0.0,
종로구,숭인1동,383,0,0,0,0,0,6,0,0,3,6,3,9,0,0.0,0.0,0.0,0.0,0,0,0.0,
